[Sun Dec 15 12:28:43.985079 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57051] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:28:43.986079 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57051] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:28:43.986079 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57051] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:28:43.986079 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57051] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.680206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Notice:  Undefined property: PDOStatement::$c in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 88, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.681206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:03.682206 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.045513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 88, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.045513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.045513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.046513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.046513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.046513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.046513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:09.046513 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:14.068800 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:14.068800 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:14.068800 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:14.069800 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57052] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:32.542857 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:32.543857 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:32.543857 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:29:32.543857 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57064] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
